Date	StaffID	Hours
03/08/2020	123456	2
10/08/2020	123456	38
17/08/2020	123456	38
24/08/2020	123456	35
31/08/2020	123456	40
07/09/2020	123456	52
14/09/2020	123456	25
21/09/2020	123456	40
28/09/2020	123456	40
05/10/2020	123456	38
03/08/2020	123457	4
10/08/2020	123457	41
17/08/2020	123457	43
24/08/2020	123457	30
31/08/2020	123457	22
07/09/2020	123457	29
14/09/2020	123457	35
21/09/2020	123457	40
28/09/2020	123457	40
05/10/2020	123457	70
03/08/2020	123458	1
10/08/2020	123458	47
17/08/2020	123458	59
24/08/2020	123458	41
31/08/2020	123458	2
07/09/2020	123458	42
14/09/2020	123458	56
21/09/2020	123458	67
28/09/2020	123458	31
05/10/2020	123458	65
03/08/2020	123459	6
10/08/2020	123459	20
17/08/2020	123459	53
24/08/2020	123459	69
31/08/2020	123459	20
07/09/2020	123459	3
14/09/2020	123459	41
21/09/2020	123459	30
28/09/2020	123459	49
05/10/2020	123459	50
